time,pos_x,pos_y,vel_x,vel_y
8970.000000,2712906.488536,-5843410.754379,7223.371453,2883.760868
8971.000000,2720125.816048,-5840518.283144,7219.327512,2892.471234
8972.000000,2727341.089652,-5837617.107562,7215.273604,2901.175582
8973.000000,2734552.299392,-5834707.233662,7211.209740,2909.873901
8974.000000,2741759.435321,-5831788.667481,7207.135929,2918.566181
8975.000000,2748962.487502,-5828861.415069,7203.052181,2927.252412
8976.000000,2756161.446007,-5825925.482483,7198.958505,2935.932586
8977.000000,2763356.300917,-5822980.875793,7194.854910,2944.606691
8978.000000,2770547.042325,-5820027.601075,7190.741408,2953.274718
8979.000000,2777733.660331,-5817065.664417,7186.618006,2961.936658
8980.000000,2784916.145046,-5814095.071917,7182.484715,2970.592500
8981.000000,2792094.486590,-5811115.829681,7178.341545,2979.242235
8982.000000,2799268.675094,-5808127.943827,7174.188504,2987.885854
8983.000000,2806438.700698,-5805131.420482,7170.025603,2996.523346
8984.000000,2813604.553549,-5802126.265780,7165.852852,3005.154702
8985.000000,2820766.223808,-5799112.485868,7161.670259,3013.779912
8986.000000,2827923.701643,-5796090.086901,7157.477835,3022.398966
8987.000000,2835076.977233,-5793059.075046,7153.275589,3031.011856
8988.000000,2842226.040764,-5790019.456475,7149.063532,3039.618571
8989.000000,2849370.882436,-5786971.237374,7144.841672,3048.219101
8990.000000,2856511.492455,-5783914.423936,7140.610019,3056.813438
8991.000000,2863647.861038,-5780849.022365,7136.368583,3065.401571
8992.000000,2870779.978413,-5777775.038873,7132.117374,3073.983491
8993.000000,2877907.834814,-5774692.479685,7127.856402,3082.559189
8994.000000,2885031.420490,-5771601.351030,7123.585675,3091.128654
8995.000000,2892150.725694,-5768501.659152,7119.305205,3099.691878
8996.000000,2899265.740693,-5765393.410300,7115.014999,3108.248851
8997.000000,2906376.455763,-5762276.610737,7110.715069,3116.799564
8998.000000,2913482.861187,-5759151.266730,7106.405424,3125.344006
8999.000000,2920584.947262,-5756017.384561,7102.086074,3133.882169
9000.000000,2927682.704290,-5752874.970517,7097.757028,3142.414044
9001.000000,2934776.122586,-5749724.030898,7093.418297,3150.939620
9002.000000,2941865.192475,-5746564.572010,7089.069889,3159.458888
9003.000000,2948949.904289,-5743396.600171,7084.711814,3167.971839
9004.000000,2956030.248373,-5740220.121706,7080.344084,3176.478464
9005.000000,2963106.215079,-5737035.142953,7075.966706,3184.978753
9006.000000,2970177.794770,-5733841.670256,7071.579691,3193.472697
9007.000000,2977244.977818,-5730639.709969,7067.183049,3201.960287
9008.000000,2984307.754607,-5727429.268456,7062.776789,3210.441513
9009.000000,2991366.115528,-5724210.352090,7058.360921,3218.916366
9010.000000,2998420.050984,-5720982.967253,7053.935455,3227.384837
9011.000000,3005469.551385,-5717747.120337,7049.500402,3235.846916
9012.000000,3012514.607154,-5714502.817742,7045.055769,3244.302595
9013.000000,3019555.208722,-5711250.065879,7040.601568,3252.751863
9014.000000,3026591.346530,-5707988.871166,7036.137808,3261.194713
9015.000000,3033623.011029,-5704719.240032,7031.664499,3269.631134
9016.000000,3040650.192679,-5701441.178915,7027.181650,3278.061117
9017.000000,3047672.881951,-5698154.694261,7022.689272,3286.484654
9018.000000,3054691.069326,-5694859.792526,7018.187375,3294.901735
9019.000000,3061704.745293,-5691556.480175,7013.675967,3303.312351
9020.000000,3068713.900352,-5688244.763683,7009.155059,3311.716493
9021.000000,3075718.525014,-5684924.649531,7004.624662,3320.114151
9022.000000,3082718.609797,-5681596.144213,7000.084783,3328.505318
9023.000000,3089714.145232,-5678259.254230,6995.535434,3336.889983
9024.000000,3096705.121857,-5674913.986093,6990.976625,3345.268137
9025.000000,3103691.530221,-5671560.346320,6986.408364,3353.639773
9026.000000,3110673.360884,-5668198.341441,6981.830663,3362.004879
9027.000000,3117650.604414,-5664827.977993,6977.243530,3370.363448
9028.000000,3124623.251390,-5661449.262522,6972.646976,3378.715471
9029.000000,3131591.292400,-5658062.201583,6968.041010,3387.060938
9030.000000,3138554.718043,-5654666.801742,6963.425643,3395.399841
9031.000000,3145513.518926,-5651263.069572,6958.800884,3403.732171
9032.000000,3152467.685669,-5647851.011654,6954.166743,3412.057918
9033.000000,3159417.208899,-5644430.634580,6949.523230,3420.377074
9034.000000,3166362.079253,-5641001.944951,6944.870354,3428.689629
9035.000000,3173302.287380,-5637564.949375,6940.208127,3436.995576
9036.000000,3180237.823936,-5634119.654470,6935.536557,3445.294905
9037.000000,3187168.679590,-5630666.066863,6930.855654,3453.587607
